City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential
Bremen;0;5.000.001 - 25.000.000;21339309;26;14;20 - 49;291;291;291;25;161;154;10;1783.9998874918797
Steinfurt;0;;;74;4;50 - 99;291;291;291;50;41;41;1;1884.4681502554804
Magdeburg;0;;;83;28;20 - 49;291;290;291;28;188;187;6;1938.6510925642797
Leipzig;0;;;61;28;10 - 19;291;291;291;12;597;594;21;1602.1874306914792
Tamm;0;;;74;4;20 - 49;291;291;291;37;336;334;10;1931.8849081162798
Düsseldorf;0;5.000.001 - 25.000.000;8500000;59;14;20 - 49;291;291;291;27;869;857;59;2187.0538218491993
Halle;0;500.001 - 2.500.000;2100000;73;20;20 - 49;291;290;291;35;209;206;9;2017.9116020674799
Müncheberg;0;;;74;4;20 - 49;291;290;292;36;13;13;0;1914.2643224446801
Stuttgart;0;500.001 - 2.500.000;630000;56;14;10 - 19;291;290;291;10;749;727;51;1390.1812344527998
Porta Westfalica;0;50.000.001 - 500.000.000;149400000;43;22;20 - 49;291;291;291;47;110;107;4;1774.37538695988
Reutlingen;0;;;42;14;20 - 49;291;291;291;40;210;205;12;2017.9116020674799
Ilsenburg;0;;;83;4;10 - 19;290;292;292;14;18;18;0;1508.6837340766795
Asselfingen;0;;;74;4;10 - 19;291;292;291;10;49;48;3;1515.69552217548
Kerpen;0;5.000.001 - 25.000.000;8000000;47;4;20 - 49;291;291;291;45;245;239;15;2639.0303102302796
Pinneberg;0;25.000.001 - 50.000.000;48699674;42;20;20 - 49;291;290;291;21;332;285;95;1942.6766780758794
Ihringen;0;;;74;4;10 - 19;291;291;291;19;64;60;4;1866.2256885514803
Berlin;0;500.001 - 2.500.000;1954453;75;14;10 - 19;291;291;291;11;3181;3055;323;1575.4394457647995
St. Johann;0;;;74;4;20 - 49;291;292;291;40;97;92;9;1923.27838334748
Großenseebach;0;;;74;4;10 - 19;291;290;291;15;104;103;2;1552.6451985202793
Immenreuth;0;5.000.001 - 25.000.000;5160000;74;4;10 - 19;291;292;292;10;9;9;0;1553.0122427614804
Stuttgart;0;100.001 - 250.000;250000;51;14;20 - 49;291;290;291;25;816;794;54;1733.7667603043992
Burgebrach;0;;;74;4;20 - 49;291;292;291;40;28;28;0;1923.27838334748
Marklkofen;0;;;74;4;20 - 49;291;292;290;20;14;14;0;1877.3855100154801
Schwerin;0;500.001 - 2.500.000;625000;63;4;10 - 19;291;290;291;10;61;58;7;1225.0720338874798
Fraureuth;0;;;74;4;10 - 19;291;290;290;15;101;101;4;1535.1376616554794
Nordheim;0;;;74;4;20 - 49;291;292;291;24;226;222;9;1931.8849081162798
Freiburg;0;;;41;31;20 - 49;291;291;291;20;265;260;14;1911.8876668834796
Hannover;0;500.001 - 2.500.000;1950000;55;14;10 - 19;291;290;290;12;760;749;31;1644.5168393327997
Kamenz;0;500.001 - 2.500.000;2400000;39;14;20 - 49;291;291;291;44;32;31;1;2009.30507729868
Raesfeld;0;2.500.001 - 5.000.000;2900000;57;11;10 - 19;291;291;291;17;66;65;1;1812.8421621154803
Bremerhaven;0;5.000.001 - 25.000.000;13248400;47;14;10 - 19;291;291;291;11;69;67;4;1721.2965321574793
Freiburg;0;5.000.001 - 25.000.000;10929000;59;11;20 - 49;291;291;291;44;267;262;15;2079.3106965730794
Münster;0;2.500.001 - 5.000.000;3506103;40;14;20 - 49;291;290;290;32;145;144;8;2914.1653782142794
Velburg;0;;;74;4;20 - 49;291;292;292;35;8;8;0;1906.6728432046802
